id, value
Talend Studio.Big Data.Sqoop,
Talend Studio.Big Data.Sqoop.tSqoopExport,110
Talend Studio.Big Data.Sqoop.tSqoopImport,111
Talend Studio.Big Data.Sqoop.tSqoopImportAllTables,112
Talend Studio.Big Data.Sqoop.tSqoopMerge,113
Talend Studio.Business,
Talend Studio.Business.tBonitaDeploy,115
Talend Studio.Business.tBonitaInstantiateProcess,116
Talend Studio.Business.tJIRAInput,117
Talend Studio.Business.tJIRAOutput,118
Talend Studio.Business.Marketo,
Talend Studio.Business.Marketo.tMarketoBulkExec,119
Talend Studio.Business.Marketo.tMarketoCampaign,120
Talend Studio.Business.Marketo.tMarketoConnection,121
Talend Studio.Business.Marketo.tMarketoInput,122
Talend Studio.Business.Marketo.tMarketoListOperation,123
Talend Studio.Business.Marketo.tMarketoOutput,124
Talend Studio.Business.Microsoft,
Talend Studio.Business.Microsoft.tMicrosoftCrmInput,125
Talend Studio.Business.Microsoft.tMicrosoftCrmOutput,126
Talend Studio.Business.Netsuite,
Talend Studio.Business.Netsuite.tNetsuiteConnection,127
Talend Studio.Business.Netsuite.tNetsuiteInput,128
Talend Studio.Business.Netsuite.tNetsuiteOutput,129
Talend Studio.Business.tOpenbravoERPInput,130
Talend Studio.Business.tOpenbravoERPOutput,131
Talend Studio.Business.Salesforce,
Talend Studio.Business.Salesforce.tSalesforceBulkExec,132
Talend Studio.Business.Salesforce.tSalesforceConnection,133
Talend Studio.Business.Salesforce.tSalesforceEinsteinBulkExec,134
Talend Studio.Business.Salesforce.tSalesforceEinsteinOutputBulkExec,135
Talend Studio.Business.Salesforce.tSalesforceGetDeleted,136
Talend Studio.Business.Salesforce.tSalesforceGetServerTimestamp,137
Talend Studio.Business.Salesforce.tSalesforceGetUpdated,138
Talend Studio.Business.Salesforce.tSalesforceInput,139
Talend Studio.Business.Salesforce.tSalesforceOutput,140
Talend Studio.Business.Salesforce.tSalesforceOutputBulk,141
Talend Studio.Business.Salesforce.tSalesforceOutputBulkExec,142
Talend Studio.Business.SAP,
Talend Studio.Business.SAP.tSAPADSOInput,143
Talend Studio.Business.SAP.tSAPBapi,144
Talend Studio.Business.SAP.tSAPBWInput,145
Talend Studio.Business.SAP.tSAPCommit,146
Talend Studio.Business.SAP.tSAPConnection,147
Talend Studio.Business.SAP.tSAPDataSourceOutput,148
Talend Studio.Business.SAP.tSAPDataSourceReceiver,149
Talend Studio.Business.SAP.tSAPDSOInput,150
Talend Studio.Business.SAP.tSAPDSOOutput,151
Talend Studio.Business.SAP.tSAPIDocInput,152
Talend Studio.Business.SAP.tSAPIDocOutput,153
Talend Studio.Business.SAP.tSAPIDocReceiver,154
Talend Studio.Business.SAP.tSAPInfoCubeInput,155
Talend Studio.Business.SAP.tSAPInfoObjectInput,156
Talend Studio.Business.SAP.tSAPInfoObjectOutput,157
Talend Studio.Business.SAP.tSAPODPInput,158
Talend Studio.Business.SAP.tSAPRollback,159
Talend Studio.Business.SAP.tSAPTableInput,160
Talend Studio.Business.ServiceNow,
Talend Studio.Business.ServiceNow.tServiceNowConnection,161
Talend Studio.Business.ServiceNow.tServiceNowInput,162
Talend Studio.Business.ServiceNow.tServiceNowOutput,163
Talend Studio.Business.tVtigerCRMInput,164
